Order;Sample ID;Sample description;BioProject;Run - SRA;Sequencing techniques;Sequencing paper;Paper also using it;Download;Origin grains;;;
42;I6_S102;8;PRJEB65292;ERR11865381;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
107;I8_S104;24;PRJEB65292;ERR11865383;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
43;J10_S118;8;PRJEB65292;ERR11865385;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
108;J12_S120;24;PRJEB65292;ERR11865387;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
44;J2_S110;8;PRJEB65292;ERR11865389;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
109;J4_S112;24;PRJEB65292;ERR11865391;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
45;J6_S114;8;PRJEB65292;ERR11865393;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
110;J8_S116;24;PRJEB65292;ERR11865395;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
46;k10_S5;8;PRJEB65292;ERR11865397;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
111;k12_S7;24;PRJEB65292;ERR11865399;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
47;k2_S122;8;PRJEB65292;ERR11865401;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
112;k4_S124;24;PRJEB65292;ERR11865403;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
48;k6_S1;8;PRJEB65292;ERR11865405;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
113;k8_S3;24;PRJEB65292;ERR11865407;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
49;L10_S17;8;PRJEB65292;ERR11865409;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
114;L12_S19;24;PRJEB65292;ERR11865411;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
50;L2_S9;8;PRJEB65292;ERR11865413;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
115;L4_S11;24;PRJEB65292;ERR11865415;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
51;L6_S13;8;PRJEB65292;ERR11865417;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
116;L8_S15;24;PRJEB65292;ERR11865419;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
52;M10_S29;8;PRJEB65292;ERR11865421;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
117;M12_S31;24;PRJEB65292;ERR11865423;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
53;M2_S21;8;PRJEB65292;ERR11865425;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
118;M4_S23;24;PRJEB65292;ERR11865427;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
54;M6_S25;8;PRJEB65292;ERR11865429;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
119;M8_S27;24;PRJEB65292;ERR11865431;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
55;N10_S41;8;PRJEB65292;ERR11865433;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
120;N12_S43;24;PRJEB65292;ERR11865435;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
56;N2_S33;8;PRJEB65292;ERR11865437;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
121;N4_S35;24;PRJEB65292;ERR11865439;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
57;N6_S37;8;PRJEB65292;ERR11865441;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
122;N8_S39;24;PRJEB65292;ERR11865443;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
58;O10_S53;8;PRJEB65292;ERR11865445;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
123;O12_S55;24;PRJEB65292;ERR11865447;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
59;O2_S45;8;PRJEB65292;ERR11865449;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
124;O4_S47;24;PRJEB65292;ERR11865451;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
60;O6_S49;8;PRJEB65292;ERR11865453;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
125;O8_S51;24;PRJEB65292;ERR11865455;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
61;P10_S65;8;PRJEB65292;ERR11865457;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
126;P12_S67;24;PRJEB65292;ERR11865459;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
62;P2_S57;8;PRJEB65292;ERR11865461;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
