"sample","tFermentation","bioproject","sequenceur","origin","short_name","count"
"ERR11865455","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865457","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865459","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865461","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865463","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865465","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865467","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865469","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","TEM",1
"ERR11865471","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","TEM",1
"ERR11865473","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","TEM",1
"ERR11865475","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","TEM",1
"ERR11865477","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","TEM",1
"ERR11865479","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","TEM",1
"ERR11865481","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865483","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865485","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865487","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865489","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865491","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865493","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","TEM",1
"ERR11865495","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865495","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","TEM",1
"ERR11865497","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865497","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","TEM",1
"ERR11865499","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865499","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","TEM",1
"ERR11865501","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","TEM",1
"ERR11865503","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","TEM",1
"ERR11865508","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865508","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","TEM",1
"ERR11865509","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865509","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","TEM",1
"ERR11865511","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865511","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","TEM",1
"ERR11865538","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865540","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865542","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865544","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865546","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865548","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865552","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865554","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865556","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865558","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865560","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
