sample,Lactococcus cremoris,Lactobacillus kefiranofaciens,Lactobacillus helveticus,Lactococcus lactis,Lentilactobacillus kefiri,Leuconostoc mesenteroides,Pseudolactococcus raffinolactis,Acinetobacter sp. TTH0-4,Pseudomonas helleri,Acetobacter orientalis,Other <0.005%,Streptococcus thermophilus,Pseudomonas lundensis,Macrococcoides caseolyticum,Hafnia paralvei,Pseudomonas brenneri,Lactococcus sp.,Streptococcus parauberis,Thermus thermophilus,Leuconostoc falkenbergense,Pseudolactococcus piscium,Acetobacter ghanensis,Pseudomonas saxonica,Carnobacterium maltaromaticum,Kluyvera intermedia,Saccharomyces cerevisiae,Kluyveromyces marxianus,Lelliottia amnigena,Pseudomonas putida,Klebsiella sp. HC6,Bacillus mycoides,Pantoea agglomerans,Clostridium saccharobutylicum,Pseudolactococcus carnosus,Pseudomonas lurida,Paenibacillus sp. FSL H8-0332,Pseudomonas sp. B21128,Propionibacterium freudenreichii,Klebsiella grimontii,Yersinia alsatica,Duffyella gerundensis,Clostridium beijerinckii,Pseudolactococcus paracarnosus,Yarrowia lipolytica,Pseudomonas azotoformans,Clostridium tyrobutyricum,Pseudomonas sp. FP453,Pseudomonas moraviensis,Acinetobacter towneri,Leclercia adecarboxylata,Rahnella aceris,Pseudomonas sp. S3_B08,Kluyvera cryocrescens,Pseudomonas rustica,Superficieibacter sp. BNK-5,Pseudomonas sp. SD17-1,Janthinobacterium sp. J1-1,Maaswegvirus Kp24,Staphylococcus sp. IVB6181,Citrobacter freundii complex sp. CFNIH3,Macrococcus psychrotolerans,Lactococcus phage 63301,Bacillus sp. WC2507,Enterobacter sp. RHBSTW-00901,Pseudomonas sp. SC3(2021),Bordetella bronchiseptica
ERR11865348,2.35,0.02,0,0.42,0.07,0,0,0,0.03,0,0.03,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865350,2.66,0.02,0,0.79,0.08,0.02,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865352,0.02,0,0,0.94,0.02,0.07,0,0,0.01,0,0.02,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865354,0.02,0,0,0.98,0,0.08,0,0,0.02,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865356,4.35,0.11,0,0.41,0.39,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865358,2.94,0.16,0,0.53,0.43,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865359,1.56,0.38,0,0.72,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865360,0,0.06,1.6,0.51,0.03,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865362,0,0.03,0.73,0.76,0.02,0,0,0,0,0.02,0.01,0.18,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865364,0.66,0.16,0,0.1,0.01,0,0,0,1.02,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865367,1.77,0.01,0,0.55,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865369,6.94,0,0,0.11,0,0,0,0,0.05,0,0.08,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865371,6.16,0,0,0.08,0,0.01,0,0,0.03,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865373,0,0.01,0.14,1.09,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865375,0,0.02,0.57,0.84,0,0,0,0,0,0.05,0,0.18,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865377,0,0.2,3,0.05,0.19,0,0,0,0,0.01,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865379,0,0.12,2.58,0.23,0.05,0,0,0,0,0.02,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865381,0,0.51,3.67,0.06,0.11,0,0,0,0,0.11,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865383,0,0.15,2.04,0.25,0.05,0,0,0,0,0.11,0,0.03,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865385,1.72,0.08,0,0.49,0.01,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
