sample,Lactococcus cremoris,Lactobacillus kefiranofaciens,Lactobacillus helveticus,Lactococcus lactis,Lentilactobacillus kefiri,Leuconostoc mesenteroides,Pseudolactococcus raffinolactis,Acinetobacter sp. TTH0-4,Pseudomonas helleri,Acetobacter orientalis,Other <0.005%,Streptococcus thermophilus,Pseudomonas lundensis,Macrococcoides caseolyticum,Hafnia paralvei,Pseudomonas brenneri,Lactococcus sp.,Streptococcus parauberis,Thermus thermophilus,Leuconostoc falkenbergense,Pseudolactococcus piscium,Acetobacter ghanensis,Pseudomonas saxonica,Carnobacterium maltaromaticum,Kluyvera intermedia,Saccharomyces cerevisiae,Kluyveromyces marxianus,Lelliottia amnigena,Pseudomonas putida,Klebsiella sp. HC6,Bacillus mycoides,Pantoea agglomerans,Clostridium saccharobutylicum,Pseudolactococcus carnosus,Pseudomonas lurida,Paenibacillus sp. FSL H8-0332,Pseudomonas sp. B21128,Propionibacterium freudenreichii,Klebsiella grimontii,Yersinia alsatica,Duffyella gerundensis,Clostridium beijerinckii,Pseudolactococcus paracarnosus,Yarrowia lipolytica,Pseudomonas azotoformans,Clostridium tyrobutyricum,Pseudomonas sp. FP453,Pseudomonas moraviensis,Acinetobacter towneri,Leclercia adecarboxylata,Rahnella aceris,Pseudomonas sp. S3_B08,Kluyvera cryocrescens,Pseudomonas rustica,Superficieibacter sp. BNK-5,Pseudomonas sp. SD17-1,Janthinobacterium sp. J1-1,Maaswegvirus Kp24,Staphylococcus sp. IVB6181,Citrobacter freundii complex sp. CFNIH3,Macrococcus psychrotolerans,Lactococcus phage 63301,Bacillus sp. WC2507,Enterobacter sp. RHBSTW-00901,Pseudomonas sp. SC3(2021),Bordetella bronchiseptica
ERR14783442,0,1.01,0.23,0.03,0.22,0,0,0,0.02,0.11,0.09,0,0.02,0,0,0,0,0,0,0.09,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0
ERR14783446,0,0.02,0.21,0,0.8,0,0,0,0.01,0.01,0.14,0,0.01,0,0,0,0,0,0,0,0.07,0.02,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783447,0,0.77,0.43,0,1.74,0,0.01,0.01,0.07,0.02,0.37,0.03,1.09,0,0.01,0,0,0.01,0,0,0.01,0,0.04,0.01,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
ERR14783453,0,0.14,0,0.21,0.06,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783454,0,0.04,0.01,2.03,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783455,0,0.03,0.01,1.39,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783456,0,0.02,0.31,1.94,0.03,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783460,0.01,0.42,2.96,0,1.22,0,0,0,0,0.05,0.11,0,0,0,0,0,0,0,0.31,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783464,0,0.08,1.06,0.12,0.05,0,0,0,0.02,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783465,0,0.17,0.04,0.56,0.25,0.42,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783466,0,0.21,0.33,0.73,0.36,0.16,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783473,0,2.24,1.09,0,0.64,0,0,0,0,0.05,0.06,0.03,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783475,0,0.04,0.71,1.53,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783483,0,0.09,0,0,0.03,0,0,4.71,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783484,0,0,0,0.01,0.07,0,0,0.1,0.01,0,0.03,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783485,0,0,0.01,0.49,0.05,0.18,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
ERR14783486,0,0.17,0.59,0.32,0.27,0.17,0,0,0.03,0,0.1,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0.01,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0.01,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
ERR14783487,1.9,0.5,1,0.09,0.17,1.42,0,0,0,0.09,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783492,0,0.52,0.01,0,0.6,0,0,0.1,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783494,0.04,0.59,2.72,0,0.85,0,0,0,0,0.99,0.08,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783495,0,0.76,0.66,0,0.53,0,0,0,0,0.04,0.06,0,0.01,0,0,0,0,0,0,0,0,0.08,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783500,0,0.06,0,0,0.12,0,0,0,0,0.08,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.39,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.1,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783502,0,0.01,0.25,1.78,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783503,0,0.15,1.19,0.87,0.11,0,0,0,0,0.01,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783509,0,0.09,0.01,0.37,0.07,0,0.02,0,0,0.01,0.14,0,0,0,0.02,0,0,0,0,0,0.01,0,0,0.02,0.41,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0
ERR14783510,0,0.36,0,0.02,0.16,0,3.69,0,0,0.01,0.13,0,0,0,0,0,0,0.02,0,0,0.07,0,0.19,0.49,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783511,0.53,0.15,0,1.22,0.25,0,0.45,0,0,0.02,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783512,0,0.14,0.34,0,0.07,0,0,0,0,0,0.16,0,0,0,0,1.8,0,0,0,0,0,0,0.02,0.43,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
ERR14783519,0,0.27,0.31,0,0.89,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783521,4.26,0.32,0.06,0.25,0.05,0.03,0,0,0,0.01,0.02,0,0,0,0.46,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783522,0.09,0.32,0.1,0.01,0.08,0.29,0.12,0,0,0.03,0.04,0,0.02,0,2.7,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0
ERR14783523,0,3.87,0.55,0,0.85,0.37,0.04,0,0,0.04,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783524,0.71,0.14,0.13,0.03,0.04,0.62,0.09,0,0,0,0.01,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783532,0.04,0.02,0.23,0,0.01,0,0.07,0,0,0,0.19,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783538,0,0,0.11,0,0.01,0,0,0,0,0,0.14,0,0,0,0,0,0,0.07,0,0,0,0,0,0.01,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0.07,0.06,0,0,0,0,0,0,0,0,0,0,0
ERR14783539,0,0.07,1.81,0,0.01,0.01,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783541,0,0.11,1.74,0,0.02,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783549,1.39,1.22,0.41,0.02,0.13,0.06,0.33,0,0.5,0,0.02,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783550,4.1,1.06,0.04,0.1,0.14,0.1,0.1,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783551,2.8,0.43,0.04,0.13,0.1,0.1,0.02,0,0,0,0.04,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783553,5.86,0.71,0.05,0.16,0.08,0.05,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783783,0,0,0,0,0,0.26,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783784,0.01,0,0,0,0,0.44,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.1,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783785,0,0,0,0,0,0.47,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0.07,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783786,0,0,0,0,0,0.17,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.24,0.08,0,0,0,0.01,0,0,0,0,0.01,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.04,0,0,0,0,0,0,0,0
ERR14783787,0,0,0,0,0.01,1.44,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.01,0.34,0,0,0,0.03,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
ERR14783788,0,0,0,0.29,0,1.65,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783792,6.42,0.02,0,0.39,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783793,0.1,2.09,0.01,0.01,0.51,0,0.01,0,0,0.01,0.07,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783794,0.47,2.78,0.02,0.03,0.65,0,0.16,0.13,0,0.01,0.04,0,0,0,0.01,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783795,0,4.78,0.03,0,1.12,0,0,0,0,0.01,0.06,0,0,0,0.03,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783796,0.78,0.21,0,0.04,0.08,0,0,0,1.08,0,0.03,0,0.38,0,1,0,0.01,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.01,0,0,0,0,0,0
ERR14783802,0,0.05,0.02,1.79,0.07,0,0,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783805,0,0.02,0,0,0.05,0,0,3.22,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783806,0,0.13,0,0,0.08,0,0,4.13,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR14783809,0,0.02,0,0.03,0.01,0,0,0,0,0,0.02,0,0,2.7,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
ERR14783810,0,0.02,0,0.11,0.01,0,0,0,0,0,0.03,0,0,2.11,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
SRR13801805,0,6.79,0.04,0,0.57,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
