tFermentation;bioproject;sample;sequenceur;origin;;;
24h every 1-3 day for 9 week ;PRJEB77409;ERR14783474;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 13 week ;PRJEB77409;ERR14783475;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 17 week ;PRJEB77409;ERR14783476;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 1 week ;PRJEB77409;ERR14783483;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 5 week ;PRJEB77409;ERR14783484;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 9 week ;PRJEB77409;ERR14783485;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 13 week ;PRJEB77409;ERR14783486;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 21 week ;PRJEB77409;ERR14783487;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 1 week ;PRJEB77409;ERR14783492;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 5 week ;PRJEB77409;ERR14783493;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 9 week ;PRJEB77409;ERR14783494;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 21 week ;PRJEB77409;ERR14783495;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 5 week ;PRJEB77409;ERR14783500;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 9 week ;PRJEB77409;ERR14783501;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 13 week ;PRJEB77409;ERR14783502;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 17 week ;PRJEB77409;ERR14783503;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 1 week ;PRJEB77409;ERR14783509;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 9  week ;PRJEB77409;ERR14783510;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 17 week ;PRJEB77409;ERR14783511;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 21 week ;PRJEB77409;ERR14783512;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 1 week ;PRJEB77409;ERR14783519;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 9 week ;PRJEB77409;ERR14783521;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 13 week ;PRJEB77409;ERR14783522;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 17 week ;PRJEB77409;ERR14783523;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 21 week ;PRJEB77409;ERR14783524;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 9 week ;PRJEB77409;ERR14783530;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 17 week ;PRJEB77409;ERR14783532;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 1 week ;PRJEB77409;ERR14783538;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 5 week ;PRJEB77409;ERR14783539;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 13 week ;PRJEB77409;ERR14783541;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 5 week ;PRJEB77409;ERR14783549;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 9 week ;PRJEB77409;ERR14783550;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 13 week ;PRJEB77409;ERR14783551;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 21 week ;PRJEB77409;ERR14783553;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 1 week ;PRJEB77409;ERR14783783;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 5 week ;PRJEB77409;ERR14783784;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 9 week ;PRJEB77409;ERR14783785;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 13 week ;PRJEB77409;ERR14783786;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 17 week ;PRJEB77409;ERR14783787;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 21 week ;PRJEB77409;ERR14783788;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 1 week ;PRJEB77409;ERR14783792;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 5 week ;PRJEB77409;ERR14783793;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 9 week ;PRJEB77409;ERR14783794;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 17 week ;PRJEB77409;ERR14783795;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 21 week ;PRJEB77409;ERR14783796;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 13 week ;PRJEB77409;ERR14783802;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 1 week ;PRJEB77409;ERR14783805;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 1 week ;PRJEB77409;ERR14783806;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 1 week ;PRJEB77409;ERR14783809;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 1 week ;PRJEB77409;ERR14783810;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 5 week ;PRJEB77409;ERR14783811;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 5 week ;PRJEB77409;ERR14783812;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
48;PRJNA704713;SRR13801804;Illumina, NextSeq 500, paired-end;Mexique ;;;
48;PRJNA704713;"SRR13801805	";Illumina, NextSeq 500, paired-end;Mexique ;;;
48;PRJNA388572;SRR7287342; Illumina HiSeq 2500, paired-end;Chile;;;
48;PRJNA388572;SRR8282406; Illumina HiSeq 4000, paired-end;Chile;;;
