ERR11865489,18678,_128_cov_15.000000
ERR11865491,7562,_128_cov_2.000000
ERR11865493,9761,_128_cov_2.000000
ERR11865495,5776,_128_cov_3.000000
ERR11865497,9894,_128_cov_13.000000
ERR11865499,2660,_128_cov_3.000000
ERR11865501,14292,_128_cov_4.000000
ERR11865503,12025,_128_cov_3.000000
ERR11865508,4173,_128_cov_2.000000
ERR11865509,24804,_128_cov_2.000000
ERR11865511,24204,_128_cov_5.000000
ERR11865538,6069,_128_cov_4.000000
ERR11865540,3099,_128_cov_7.000000
ERR11865542,9434,_128_cov_106.000000
ERR11865544,7052,_128_cov_3.000000
ERR11865546,16995,_128_cov_5.000000
ERR11865548,9711,_128_cov_9.000000
ERR11865552,8511,_128_cov_8.000000
ERR11865554,6795,_128_cov_3.000000
ERR11865556,3742,_128_cov_8.000000
ERR11865558,7809,_128_cov_6.000000
ERR11865560,2939,_128_cov_3.000000
ERR14783384,38866,_128_cov_2.000000
ERR14783385,33472,_128_cov_2.000000
ERR14783386,12822,_128_cov_2.000000
ERR14783390,70543,_128_cov_2.000000
ERR14783391,40895,_128_cov_3.000000
ERR14783392,2921,_135_cov_2.875000
ERR14783393,57132,_128_cov_1.000000
ERR14783399,46728,_128_cov_3.000000
ERR14783400,44139,_128_cov_1.000000
ERR14783401,18244,_128_cov_3.000000
ERR14783402,57084,_128_cov_1.000000
ERR14783408,29340,_128_cov_3.000000
ERR14783409,28892,_128_cov_3.000000
ERR14783410,7741,_128_cov_2.000000
ERR14783411,23172,_128_cov_3.000000
ERR14783416,16870,_128_cov_2.000000
ERR14783418,29142,_128_cov_4.000000
ERR14783424,19964,_128_cov_4.000000
ERR14783425,41904,_128_cov_4.000000
ERR14783426,11580,_128_cov_5.000000
ERR14783427,8346,_128_cov_36.000000
ERR14783429,16234,_128_cov_6.000000
ERR14783433,34252,_128_cov_4.000000
ERR14783434,16972,_128_cov_7.000000
ERR14783439,33967,_128_cov_1.000000
ERR14783440,38710,_128_cov_1.000000
ERR14783441,15877,_128_cov_70.000000
ERR14783442,7924,_134_cov_3.000000
ERR14783446,35976,_128_cov_3.000000
ERR14783447,648,_128_cov_23.000000
ERR14783453,20209,_128_cov_5.000000
ERR14783454,7127,_128_cov_5.000000
ERR14783455,15365,_128_cov_2.000000
ERR14783456,5416,_128_cov_1.000000
ERR14783459,42559,_128_cov_2.000000
ERR14783460,26764,_128_cov_4.000000
ERR14783464,10920,_128_cov_4.000000
ERR14783465,10787,_128_cov_3.000000
ERR14783466,35301,_128_cov_2.000000
ERR14783473,34748,_128_cov_1.000000
ERR14783474,18929,_128_cov_2.000000
ERR14783475,3849,_128_cov_3.000000
ERR14783476,18594,_128_cov_2.000000
ERR14783483,31845,_128_cov_27.000000
ERR14783484,45395,_128_cov_14.000000
ERR14783485,25540,_128_cov_6.000000
ERR14783486,39174,_128_cov_3.000000
ERR14783487,7937,_128_cov_3.000000
ERR14783492,11059,_128_cov_1.000000
ERR14783493,88233,_128_cov_1.000000
ERR14783494,21108,_128_cov_2.000000
ERR14783495,18438,_128_cov_10.000000
ERR14783500,30045,_128_cov_2.000000
ERR14783501,40983,_128_cov_2.000000
ERR14783502,4916,_128_cov_2.000000
ERR14783503,52864,_128_cov_2.000000
ERR14783509,46593,_128_cov_9.000000
ERR14783510,46517,_128_cov_2.000000
ERR14783511,38736,_128_cov_3.000000
ERR14783512,54873,_128_cov_1.000000
ERR14783519,42353,_128_cov_2.000000
ERR14783521,39028,_128_cov_2.000000
ERR14783522,20325,_128_cov_3.000000
ERR14783523,35151,_128_cov_3.000000
ERR14783524,47108,_128_cov_3.000000
ERR14783530,67972,_128_cov_2.000000
ERR14783532,22818,_128_cov_3.000000
ERR14783538,41529,_128_cov_2.000000
ERR14783539,80154,_128_cov_1.000000
ERR14783541,7190,_128_cov_3.000000
